Item_Identifier,Item_Weight_Unique_Count,Item_Weight_Unique_Value,Item_FatContent_Unique_Count,Item_FatContent_Unique_Value,Item_Type_Unique_Count,Item_Type_Unique_Value
DRG13,1,"[17.25, nan]",1,['Low Fat'],1,['Soft Drinks']
DRG15,1,[6.13],1,['Low Fat'],1,['Dairy']
DRG23,1,"[8.88, nan]",1,['Low Fat'],1,['Hard Drinks']
DRG25,1,[10.5],1,['Low Fat'],1,['Soft Drinks']
DRG27,1,"[8.895, nan]",1,['Low Fat'],1,['Dairy']
DRG36,1,"[14.15, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Soft Drinks']
DRG37,1,"[16.2, nan]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRG39,1,[14.15],1,['Low Fat'],1,['Dairy']
DRG48,1,"[nan, 5.78]",1,['Low Fat'],1,['Soft Drinks']
DRG49,1,"[nan, 7.81]",1,['Low Fat'],1,['Soft Drinks']
DRG51,1,[12.1],1,['Low Fat'],1,['Dairy']
DRH01,1,"[17.5, nan]",1,['Low Fat'],1,['Soft Drinks']
DRH03,1,"[17.25, nan]",2,"['Low Fat', 'low fat']",1,['Dairy']
DRH11,1,"[nan, 5.98]",2,"['Low Fat', 'LF']",1,['Hard Drinks']
DRH13,1,"[8.575, nan]",1,['Low Fat'],1,['Soft Drinks']
DRH15,1,"[8.775, nan]",1,['Low Fat'],1,['Dairy']
DRH23,1,"[14.65, nan]",1,['Low Fat'],1,['Hard Drinks']
DRH25,1,"[18.7, nan]",1,['Low Fat'],1,['Soft Drinks']
DRH36,1,"[16.2, nan]",1,['Low Fat'],1,['Soft Drinks']
DRH37,1,"[17.6, nan]",1,['Low Fat'],1,['Soft Drinks']
DRH39,1,"[nan, 20.7, nan]",2,"['Low Fat', 'low fat']",1,['Dairy']
DRH49,1,"[nan, 19.7]",1,['Low Fat'],1,['Soft Drinks']
DRH51,1,"[17.6, nan]",1,['Low Fat'],1,['Dairy']
DRH59,1,[10.8],3,"['Low Fat', 'LF', 'low fat']",1,['Hard Drinks']
DRI01,1,"[nan, 7.97]",1,['Low Fat'],1,['Soft Drinks']
DRI03,1,"[nan, 6.03]",1,['Low Fat'],1,['Dairy']
DRI11,1,"[8.26, nan]",1,['Low Fat'],1,['Hard Drinks']
DRI13,1,[15.35],1,['Low Fat'],1,['Soft Drinks']
DRI23,1,"[nan, 18.85]",1,['Low Fat'],1,['Hard Drinks']
DRI25,1,"[19.6, nan]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRI37,1,"[nan, 15.85]",1,['Low Fat'],1,['Soft Drinks']
DRI39,1,"[nan, 13.8]",2,"['Low Fat', 'LF']",1,['Dairy']
DRI47,1,[14.7],1,['Low Fat'],1,['Hard Drinks']
DRI49,1,[14.15],1,['Low Fat'],1,['Soft Drinks']
DRI51,1,"[17.25, nan]",2,"['Low Fat', 'LF']",1,['Dairy']
DRI59,1,"[9.5, nan]",1,['Low Fat'],1,['Hard Drinks']
DRJ01,1,"[nan, 6.135]",2,"['Low Fat', 'low fat']",1,['Soft Drinks']
DRJ11,1,[9.5],1,['Low Fat'],1,['Hard Drinks']
DRJ13,1,[12.65],2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRJ23,1,"[18.35, nan]",1,['Low Fat'],1,['Hard Drinks']
DRJ24,1,"[11.8, nan]",1,['Low Fat'],1,['Soft Drinks']
DRJ25,1,[14.6],1,['Low Fat'],1,['Soft Drinks']
DRJ35,1,[10.1],1,['Low Fat'],1,['Hard Drinks']
DRJ37,1,"[10.8, nan]",1,['Low Fat'],1,['Soft Drinks']
DRJ39,1,"[nan, 20.25]",1,['Low Fat'],1,['Dairy']
DRJ47,1,"[nan, 18.25]",1,['Low Fat'],1,['Hard Drinks']
DRJ49,1,[6.865],1,['Low Fat'],1,['Soft Drinks']
DRJ51,1,[14.1],1,['Low Fat'],1,['Dairy']
DRJ59,1,"[11.65, nan]",2,"['Low Fat', 'low fat']",1,['Hard Drinks']
DRK01,1,[7.63],1,['Low Fat'],1,['Soft Drinks']
DRK11,1,"[8.21, nan]",2,"['Low Fat', 'low fat']",1,['Hard Drinks']
DRK12,1,"[9.5, nan]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRK13,1,"[11.8, nan]",1,['Low Fat'],1,['Soft Drinks']
DRK23,1,"[8.395, nan]",1,['Low Fat'],1,['Hard Drinks']
DRK35,1,"[8.365, nan]",1,['Low Fat'],1,['Hard Drinks']
DRK37,1,"[nan, 5.0]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRK39,1,"[nan, 7.02]",1,['Low Fat'],1,['Dairy']
DRK47,1,[7.905],1,['Low Fat'],1,['Hard Drinks']
DRK49,1,"[nan, nan, 14.15]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRK59,1,"[8.895, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Hard Drinks']
DRL01,1,"[19.5, nan]",1,['Regular'],1,['Soft Drinks']
DRL11,1,"[10.5, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Hard Drinks']
DRL23,1,[18.35],1,['Low Fat'],1,['Hard Drinks']
DRL35,1,"[nan, 15.7]",2,"['Low Fat', 'low fat']",1,['Hard Drinks']
DRL37,1,"[nan, 15.5]",1,['Low Fat'],1,['Soft Drinks']
DRL47,1,"[19.7, nan]",2,"['Low Fat', 'LF']",1,['Hard Drinks']
DRL49,1,[13.15],1,['Low Fat'],1,['Soft Drinks']
DRL59,1,"[16.75, nan]",1,['Low Fat'],1,['Hard Drinks']
DRL60,1,"[8.52, nan]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRM11,1,[6.57],1,['Low Fat'],1,['Hard Drinks']
DRM23,1,"[16.6, nan]",1,['Low Fat'],1,['Hard Drinks']
DRM35,1,"[9.695, nan]",2,"['Low Fat', 'LF']",1,['Hard Drinks']
DRM37,1,"[nan, 15.35]",2,"['Low Fat', 'LF']",1,['Soft Drinks']
DRM47,1,"[9.3, nan]",1,['Low Fat'],1,['Hard Drinks']
DRM48,1,"[nan, 15.2]",1,['Low Fat'],1,['Soft Drinks']
DRM49,1,[6.11],1,['Regular'],1,['Soft Drinks']
DRM59,1,"[nan, 5.88, nan]",2,"['Low Fat', 'LF']",1,['Hard Drinks']
DRN11,1,[7.85],1,['Low Fat'],1,['Hard Drinks']
DRN35,1,[8.01],1,['Low Fat'],1,['Hard Drinks']
DRN36,1,"[nan, 15.2]",1,['Low Fat'],1,['Soft Drinks']
DRN37,1,[9.6],3,"['Low Fat', 'LF', 'low fat']",1,['Soft Drinks']
DRN47,1,"[nan, 12.1]",1,['Low Fat'],1,['Hard Drinks']
DRN59,1,"[nan, 15.0]",1,['Low Fat'],1,['Hard Drinks']
DRO35,1,[13.85],2,"['Low Fat', 'LF']",1,['Hard Drinks']
DRO47,1,[10.195],1,['Low Fat'],1,['Hard Drinks']
DRO59,1,"[nan, 11.8]",1,['Low Fat'],1,['Hard Drinks']
DRP35,1,"[nan, 18.85]",1,['Low Fat'],1,['Hard Drinks']
DRP47,1,[15.75],1,['Low Fat'],1,['Hard Drinks']
DRQ35,1,"[9.3, nan]",2,"['Low Fat', 'low fat']",1,['Hard Drinks']
DRY23,1,"[9.395, nan]",1,['Regular'],1,['Soft Drinks']
DRZ11,1,"[8.85, nan]",1,['Regular'],1,['Soft Drinks']
DRZ24,1,"[nan, 7.535]",1,['Low Fat'],1,['Soft Drinks']
FDA01,1,"[nan, 15.0]",1,['Regular'],1,['Canned']
FDA02,1,"[14.0, nan]",1,['Regular'],1,['Dairy']
FDA03,1,"[18.5, nan]",1,['Regular'],1,['Dairy']
FDA04,1,"[nan, 11.3]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDA07,1,"[nan, 7.55]",1,['Regular'],1,['Fruits and Vegetables']
FDA08,1,"[11.85, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDA09,1,[13.35],1,['Regular'],1,['Snack Foods']
FDA10,1,"[20.35, nan, nan]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDA11,1,"[nan, 7.75]",3,"['Low Fat', 'LF', 'low fat']",1,['Baking Goods']
FDA13,1,"[nan, 15.85]",1,['Low Fat'],1,['Canned']
FDA14,1,"[16.1, nan]",1,['Low Fat'],1,['Dairy']
FDA15,1,"[9.3, nan]",2,"['Low Fat', 'LF']",1,['Dairy']
FDA16,1,"[nan, 6.695]",1,['Low Fat'],1,['Frozen Foods']
FDA19,1,"[nan, 7.52]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDA20,1,"[6.78, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDA21,1,[13.65],1,['Low Fat'],1,['Snack Foods']
FDA22,1,"[nan, 7.435]",1,['Low Fat'],1,['Starchy Foods']
FDA23,1,"[9.8, nan]",2,"['Low Fat', 'LF']",1,['Baking Goods']
FDA25,1,[16.5],1,['Regular'],1,['Canned']
FDA26,1,"[nan, 7.855]",1,['Regular'],1,['Dairy']
FDA27,1,[20.35],1,['Regular'],1,['Dairy']
FDA28,1,"[16.1, nan]",1,['Regular'],1,['Frozen Foods']
FDA31,1,[7.1],2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDA32,1,"[nan, 14.0]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDA33,1,[6.48],2,"['Low Fat', 'LF']",1,['Snack Foods']
FDA34,1,"[11.5, nan]",1,['Low Fat'],1,['Starchy Foods']
FDA35,1,"[nan, 14.85]",1,['Regular'],1,['Baking Goods']
FDA36,1,"[5.985, nan]",1,['Low Fat'],1,['Baking Goods']
FDA37,1,[7.81],1,['Regular'],1,['Canned']
FDA38,1,"[nan, 5.44]",1,['Low Fat'],1,['Dairy']
FDA39,1,"[nan, 6.32]",2,"['Low Fat', 'LF']",1,['Meat']
FDA40,1,[16.0],1,['Regular'],1,['Frozen Foods']
FDA43,1,"[10.895, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDA44,1,"[19.7, nan]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDA45,1,"[21.25, nan]",1,['Low Fat'],1,['Snack Foods']
FDA46,1,"[nan, 13.6]",2,"['Low Fat', 'low fat']",1,['Snack Foods']
FDA47,1,"[10.5, nan]",1,['Regular'],1,['Baking Goods']
FDA48,1,[12.1],1,['Low Fat'],1,['Baking Goods']
FDA49,1,"[nan, 19.7]",2,"['Low Fat', 'LF']",1,['Canned']
FDA50,1,"[16.25, nan]",2,"['Low Fat', 'LF']",1,['Dairy']
FDA51,1,"[8.05, nan]",1,['Regular'],1,['Dairy']
FDA52,1,"[16.2, nan]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDA55,1,"[17.2, nan]",2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDA56,1,"[9.21, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDA57,1,"[nan, 18.85]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDA58,1,[9.395],1,['Low Fat'],1,['Snack Foods']
FDB02,1,"[9.695, nan]",1,['Regular'],1,['Canned']
FDB03,1,[17.75],1,['Regular'],1,['Dairy']
FDB04,1,"[nan, 11.35]",1,['Regular'],1,['Dairy']
FDB05,1,"[nan, 5.155]",1,['Low Fat'],1,['Frozen Foods']
FDB08,1,"[nan, 6.055]",1,['Low Fat'],1,['Fruits and Vegetables']
FDB09,1,"[16.25, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDB10,1,[10.0],1,['Low Fat'],1,['Snack Foods']
FDB11,1,[16.0],2,"['Low Fat', 'LF']",1,['Starchy Foods']
FDB12,1,[11.15],1,['Regular'],1,['Baking Goods']
FDB14,1,"[20.25, nan]",1,['Regular'],1,['Canned']
FDB15,1,[10.895],1,['Low Fat'],1,['Dairy']
FDB16,1,[8.21],1,['Low Fat'],1,['Dairy']
FDB17,1,"[13.15, nan]",1,['Low Fat'],1,['Frozen Foods']
FDB20,1,[7.72],2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDB21,1,"[nan, 7.475]",1,['Low Fat'],1,['Fruits and Vegetables']
FDB22,1,"[8.02, nan]",1,['Low Fat'],1,['Snack Foods']
FDB23,1,"[19.2, nan]",2,"['reg', 'Regular']",1,['Starchy Foods']
FDB26,1,"[nan, 14.0]",2,"['reg', 'Regular']",1,['Canned']
FDB27,1,"[nan, 7.575]",1,['Low Fat'],1,['Dairy']
FDB28,1,[6.615],1,['Low Fat'],1,['Dairy']
FDB29,1,[16.7],1,['Regular'],1,['Frozen Foods']
FDB32,1,"[20.6, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDB33,1,"[nan, 17.75]",1,['Low Fat'],1,['Fruits and Vegetables']
FDB34,1,"[15.25, nan]",1,['Low Fat'],1,['Snack Foods']
FDB35,1,"[nan, 12.3]",1,['Regular'],1,['Starchy Foods']
FDB36,1,"[nan, 5.465]",1,['Regular'],1,['Baking Goods']
FDB37,1,"[nan, 20.25]",1,['Regular'],1,['Baking Goods']
FDB38,1,"[19.5, nan]",1,['Regular'],1,['Canned']
FDB39,1,"[nan, 11.6]",2,"['Low Fat', 'LF']",1,['Dairy']
FDB40,1,"[17.5, nan]",1,['Regular'],1,['Dairy']
FDB41,1,"[nan, 19.0]",1,['Regular'],1,['Frozen Foods']
FDB44,1,"[nan, 6.655]",1,['Low Fat'],1,['Fruits and Vegetables']
FDB45,1,"[nan, 20.85]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDB46,1,[10.5],1,['Regular'],1,['Snack Foods']
FDB47,1,[8.8],1,['Low Fat'],1,['Snack Foods']
FDB49,1,"[8.3, nan]",1,['Regular'],1,['Baking Goods']
FDB50,1,[13.0],2,"['Low Fat', 'LF']",1,['Canned']
FDB51,1,[6.92],2,"['Low Fat', 'LF']",1,['Dairy']
FDB52,1,"[17.75, nan]",2,"['Low Fat', 'low fat']",1,['Dairy']
FDB53,1,"[13.35, nan]",1,['Low Fat'],1,['Frozen Foods']
FDB56,1,"[8.75, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDB57,1,"[20.25, nan]",2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDB58,1,"[nan, 10.5]",2,"['reg', 'Regular']",1,['Snack Foods']
FDB59,1,"[nan, 18.25]",1,['Low Fat'],1,['Snack Foods']
FDB60,1,[9.3],2,"['Low Fat', 'low fat']",1,['Baking Goods']
FDC02,1,"[nan, 21.35]",1,['Low Fat'],1,['Canned']
FDC03,1,[8.575],2,"['reg', 'Regular']",1,['Dairy']
FDC04,1,"[15.6, nan]",1,['Low Fat'],1,['Dairy']
FDC05,1,[13.1],1,['Regular'],1,['Frozen Foods']
FDC08,1,"[19.0, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDC09,1,[15.5],1,['Regular'],1,['Fruits and Vegetables']
FDC10,1,"[nan, 9.8]",2,"['reg', 'Regular']",1,['Snack Foods']
FDC11,1,"[20.5, nan]",2,"['Low Fat', 'LF']",1,['Starchy Foods']
FDC14,1,"[nan, 14.5]",1,['Regular'],1,['Canned']
FDC15,1,[18.1],2,"['Low Fat', 'LF']",1,['Dairy']
FDC16,1,"[11.5, nan]",1,['Regular'],1,['Dairy']
FDC17,1,"[12.15, nan]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDC20,1,"[10.65, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Fruits and Vegetables']
FDC21,1,"[nan, 14.6]",1,['Regular'],1,['Fruits and Vegetables']
FDC22,1,[6.89],1,['Regular'],1,['Snack Foods']
FDC23,1,[18.0],1,['Low Fat'],1,['Starchy Foods']
FDC26,1,[10.195],1,['Low Fat'],1,['Canned']
FDC28,1,"[7.905, nan]",1,['Low Fat'],1,['Frozen Foods']
FDC29,1,"[8.39, nan]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDC32,1,"[18.35, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDC33,1,"[8.96, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDC34,1,"[16.0, nan]",1,['Regular'],1,['Snack Foods']
FDC35,1,"[nan, 7.435]",1,['Low Fat'],1,['Starchy Foods']
FDC37,1,"[15.5, nan]",1,['Low Fat'],1,['Baking Goods']
FDC38,1,[15.7],1,['Low Fat'],1,['Canned']
FDC39,1,[7.405],1,['Low Fat'],1,['Dairy']
FDC40,1,[16.0],1,['Regular'],1,['Dairy']
FDC41,1,"[nan, 15.6]",1,['Low Fat'],1,['Frozen Foods']
FDC44,1,"[nan, 15.6]",1,['Low Fat'],1,['Fruits and Vegetables']
FDC45,1,"[17.0, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDC46,1,"[17.7, nan]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDC47,1,"[nan, 15.0]",1,['Low Fat'],1,['Snack Foods']
FDC48,1,"[9.195, nan]",1,['Low Fat'],1,['Baking Goods']
FDC50,1,"[nan, 15.85]",1,['Low Fat'],1,['Canned']
FDC51,1,[10.895],1,['Regular'],1,['Dairy']
FDC52,1,"[nan, 11.15]",1,['Regular'],1,['Dairy']
FDC53,1,"[8.68, nan]",1,['Low Fat'],1,['Frozen Foods']
FDC56,1,[7.72],1,['Low Fat'],1,['Fruits and Vegetables']
FDC57,1,"[20.1, nan]",1,['Regular'],1,['Fruits and Vegetables']
FDC58,1,"[nan, 10.195]",1,['Low Fat'],1,['Snack Foods']
FDC59,1,"[16.7, nan]",2,"['reg', 'Regular']",1,['Starchy Foods']
FDC60,1,"[5.425, nan]",1,['Regular'],1,['Baking Goods']
FDD02,1,[16.6],2,"['Low Fat', 'LF']",1,['Canned']
FDD03,1,[13.3],1,['Low Fat'],1,['Dairy']
FDD04,1,"[16.0, nan]",1,['Low Fat'],1,['Dairy']
FDD05,1,"[19.35, nan]",1,['Low Fat'],1,['Frozen Foods']
FDD08,1,"[8.3, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDD09,1,"[nan, 13.5]",2,"['Low Fat', 'low fat']",1,['Fruits and Vegetables']
FDD10,1,"[20.6, nan]",2,"['reg', 'Regular']",1,['Snack Foods']
FDD11,1,"[nan, 12.85]",2,"['Low Fat', 'LF']",1,['Starchy Foods']
FDD14,1,"[nan, 20.7]",2,"['Low Fat', 'LF']",1,['Canned']
FDD16,1,"[20.5, nan]",1,['Low Fat'],1,['Frozen Foods']
FDD17,1,[7.5],2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDD20,1,"[nan, 14.15]",2,"['Low Fat', 'LF']",1,['Fruits and Vegetables']
FDD21,1,[10.3],1,['Regular'],1,['Fruits and Vegetables']
FDD22,1,[10.0],1,['Low Fat'],1,['Snack Foods']
FDD23,1,[9.5],1,['Regular'],1,['Starchy Foods']
FDD26,1,"[8.71, nan]",1,['Regular'],1,['Canned']
FDD28,1,"[nan, 10.695]",1,['Low Fat'],1,['Frozen Foods']
FDD29,1,"[12.15, nan]",1,['Low Fat'],1,['Frozen Foods']
FDD32,1,[17.7],2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDD33,1,"[nan, 12.85]",1,['Low Fat'],1,['Fruits and Vegetables']
FDD34,1,[7.945],1,['Low Fat'],1,['Snack Foods']
FDD35,1,"[nan, 12.15]",2,"['Low Fat', 'LF']",1,['Starchy Foods']
FDD36,1,"[nan, 13.3]",2,"['Low Fat', 'LF']",1,['Baking Goods']
FDD38,1,"[16.75, nan, nan]",2,"['reg', 'Regular']",1,['Canned']
FDD39,1,"[16.7, nan]",2,"['Low Fat', 'low fat']",1,['Dairy']
FDD40,1,"[20.25, nan]",1,['Regular'],1,['Dairy']
FDD41,1,"[nan, 6.765]",1,['Regular'],1,['Frozen Foods']
FDD44,1,[8.05],1,['Regular'],1,['Fruits and Vegetables']
FDD45,1,[8.615],2,"['Low Fat', 'low fat']",1,['Fruits and Vegetables']
FDD46,1,"[6.035, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Snack Foods']
FDD47,1,[7.6],2,"['reg', 'Regular']",1,['Starchy Foods']
FDD48,1,[10.395],1,['Low Fat'],1,['Baking Goods']
FDD50,1,"[nan, 18.85]",1,['Low Fat'],1,['Canned']
FDD51,1,"[11.15, nan, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Dairy']
FDD52,1,"[nan, 18.25]",1,['Regular'],1,['Dairy']
FDD53,1,"[16.2, nan]",1,['Low Fat'],1,['Frozen Foods']
FDD56,1,[15.2],1,['Regular'],1,['Fruits and Vegetables']
FDD57,1,"[18.1, nan]",3,"['Low Fat', 'LF', 'low fat']",1,['Fruits and Vegetables']
FDD58,1,"[nan, 7.76]",2,"['Low Fat', 'LF']",1,['Snack Foods']
FDD59,1,"[10.5, nan]",1,['Regular'],1,['Starchy Foods']
FDE02,1,"[8.71, nan]",2,"['Low Fat', 'low fat']",1,['Canned']
FDE04,1,[19.75],1,['Regular'],1,['Frozen Foods']
FDE05,1,"[10.895, nan]",1,['Regular'],1,['Frozen Foods']
FDE08,1,"[18.2, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDE09,1,"[8.775, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDE10,1,"[nan, 6.67]",1,['Regular'],1,['Snack Foods']
FDE11,1,"[17.7, nan]",1,['Regular'],1,['Starchy Foods']
FDE14,1,[13.65],1,['Regular'],1,['Canned']
FDE16,1,"[8.895, nan]",1,['Low Fat'],1,['Frozen Foods']
FDE17,1,[20.1],1,['Regular'],1,['Frozen Foods']
FDE20,1,[11.35],1,['Regular'],1,['Fruits and Vegetables']
FDE21,1,"[12.8, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDE22,1,"[9.695, nan]",1,['Low Fat'],1,['Snack Foods']
FDE23,1,[17.6],1,['Regular'],1,['Starchy Foods']
FDE24,1,"[nan, 14.85]",1,['Low Fat'],1,['Baking Goods']
FDE26,1,[9.3],1,['Low Fat'],1,['Canned']
FDE28,1,"[9.5, nan]",1,['Regular'],1,['Frozen Foods']
FDE29,1,"[8.905, nan]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDE32,1,"[20.7, nan]",1,['Low Fat'],1,['Fruits and Vegetables']
FDE33,1,"[nan, 19.35]",2,"['reg', 'Regular']",1,['Fruits and Vegetables']
FDE34,1,[9.195],1,['Low Fat'],1,['Snack Foods']
FDE35,1,"[nan, 7.06]",2,"['reg', 'Regular']",1,['Starchy Foods']
FDE36,1,"[nan, 5.26]",1,['Regular'],1,['Baking Goods']
FDE38,1,"[nan, 6.52]",1,['Low Fat'],1,['Canned']
FDE39,1,[7.89],1,['Low Fat'],1,['Dairy']
FDE40,1,"[15.6, nan]",1,['Regular'],1,['Dairy']
FDE41,1,"[9.195, nan]",2,"['reg', 'Regular']",1,['Frozen Foods']
FDE44,1,[14.65],1,['Low Fat'],1,['Fruits and Vegetables']
FDE45,1,"[nan, 12.1]",1,['Low Fat'],1,['Fruits and Vegetables']
FDE46,1,"[18.6, nan]",1,['Low Fat'],1,['Snack Foods']
FDE47,1,[14.15],2,"['Low Fat', 'low fat']",1,['Starchy Foods']
FDE50,1,"[nan, 19.7]",1,['Regular'],1,['Canned']
FDE51,1,"[5.925, nan]",1,['Regular'],1,['Dairy']
FDE52,0,[nan],1,['Regular'],1,['Dairy']
FDE53,1,"[10.895, nan]",2,"['Low Fat', 'LF']",1,['Frozen Foods']
FDE56,1,"[nan, 17.25]",1,['Regular'],1,['Fruits and Vegetables']
